carat,cut,color,clarity,depth,table,price,x,y,z,volume,x/y_ratio,t/d_ratio,category_color,category_clarity
1.21,Premium,J,VS2,62.4,58.0,4268,6.83,6.79,4.25,197.1,1.01,0.93,Near Colorless,Very Slightly Included
0.32,Very Good,H,VS2,63.0,57.0,505,4.35,4.38,2.75,52.4,0.99,0.9,Near Colorless,Very Slightly Included
0.71,Fair,G,VS1,65.5,55.0,2686,5.62,5.53,3.65,113.44,1.02,0.84,Near Colorless,Very Slightly Included
0.41,Good,D,SI1,63.8,56.0,738,4.68,4.72,3.0,66.27,0.99,0.88,Colorless,Slightly Included
1.02,Ideal,G,SI1,60.5,59.0,4882,6.55,6.51,3.95,168.43,1.01,0.98,Near Colorless,Slightly Included
1.52,Ideal,F,SI2,61.2,57.0,9057,7.45,7.39,4.54,249.95,1.01,0.93,Colorless,Slightly Included
1.01,Fair,H,VS2,65.2,56.0,3733,6.23,6.19,4.05,156.18,1.01,0.86,Near Colorless,Very Slightly Included
1.52,Ideal,J,VS1,62.3,58.0,8608,7.32,7.35,4.57,245.88,1.0,0.93,Near Colorless,Very Slightly Included
0.31,Ideal,H,VS1,61.8,54.2,557,4.33,4.37,2.69,50.9,0.99,0.88,Near Colorless,Very Slightly Included
1.14,Ideal,G,SI1,61.7,56.0,6741,6.71,6.75,4.15,187.96,0.99,0.91,Near Colorless,Slightly Included
0.44,Premium,E,SI1,62.3,59.0,1040,4.88,4.84,3.03,71.57,1.01,0.95,Colorless,Slightly Included
1.02,Premium,I,SI1,58.0,58.0,4284,6.84,6.6,3.9,176.06,1.04,1.0,Near Colorless,Slightly Included
0.93,Ideal,I,SI2,62.3,57.0,3101,6.2,6.22,3.87,149.24,1.0,0.91,Near Colorless,Slightly Included
1.51,Premium,G,VS1,60.1,58.0,14507,7.48,7.45,4.49,250.21,1.0,0.97,Near Colorless,Very Slightly Included
1.65,Ideal,H,SI2,61.6,55.0,10349,7.58,7.62,4.68,270.31,0.99,0.89,Near Colorless,Slightly Included
1.5,Good,G,SI2,57.5,63.0,6006,7.53,7.49,4.32,243.65,1.01,1.1,Near Colorless,Slightly Included
0.43,Ideal,D,VS1,62.1,56.0,1207,4.85,4.87,3.02,71.33,1.0,0.9,Colorless,Very Slightly Included
0.38,Premium,G,VS2,60.8,61.0,983,4.66,4.65,2.83,61.32,1.0,1.0,Near Colorless,Very Slightly Included
0.85,Ideal,I,VS1,61.9,56.0,3548,6.08,6.1,3.77,139.82,1.0,0.9,Near Colorless,Very Slightly Included
1.53,Premium,D,SI2,60.7,60.0,11078,7.45,7.41,4.51,248.97,1.01,0.99,Colorless,Slightly Included
1.54,Premium,H,VS2,61.0,60.0,11177,7.46,7.42,4.54,251.3,1.01,0.98,Near Colorless,Very Slightly Included
0.71,Premium,G,SI2,62.0,59.0,1740,5.69,5.65,3.52,113.16,1.01,0.95,Near Colorless,Slightly Included
0.3,Very Good,G,VS1,61.7,56.0,605,4.29,4.33,2.66,49.41,0.99,0.91,Near Colorless,Very Slightly Included
1.3,Ideal,G,IF,61.3,56.0,12932,7.03,7.06,4.32,214.41,1.0,0.91,Near Colorless,Internally Flawless
0.3,Premium,G,SI1,62.9,59.0,574,4.28,4.24,2.68,48.63,1.01,0.94,Near Colorless,Slightly Included
1.0,Ideal,I,SI2,61.7,56.0,2873,6.45,6.41,3.97,164.14,1.01,0.91,Near Colorless,Slightly Included
1.0,Premium,G,VS2,61.6,54.0,6216,6.49,6.46,3.99,167.28,1.0,0.88,Near Colorless,Very Slightly Included
0.9,Premium,D,SI1,61.7,56.0,3568,6.16,6.09,3.78,141.8,1.01,0.91,Colorless,Slightly Included
1.55,Very Good,H,SI1,63.2,57.0,7066,7.35,7.31,4.64,249.3,1.01,0.9,Near Colorless,Slightly Included
1.01,Premium,H,SI2,61.1,60.0,3054,6.46,6.41,3.93,162.74,1.01,0.98,Near Colorless,Slightly Included
1.16,Premium,G,SI2,62.5,58.0,4969,6.72,6.68,4.19,188.09,1.01,0.93,Near Colorless,Slightly Included
0.35,Ideal,H,VVS1,62.0,53.9,743,4.5,4.53,2.8,57.08,0.99,0.87,Near Colorless,Very Very Slightly Included
0.97,Ideal,H,VVS1,60.4,57.0,6801,6.4,6.48,3.89,161.33,0.99,0.94,Near Colorless,Very Very Slightly Included
1.19,Ideal,E,SI2,60.2,57.0,5717,6.84,6.87,4.13,194.07,1.0,0.95,Colorless,Slightly Included
0.7,Very Good,H,VS1,62.1,56.0,2422,5.65,5.68,3.52,112.96,0.99,0.9,Near Colorless,Very Slightly Included
0.8,Very Good,H,SI1,63.2,54.0,2553,5.93,5.88,3.73,130.06,1.01,0.85,Near Colorless,Slightly Included
2.0,Premium,I,SI2,61.3,59.0,14208,8.13,8.09,4.97,326.89,1.0,0.96,Near Colorless,Slightly Included
0.71,Very Good,E,VS2,63.5,59.0,2858,5.68,5.59,3.58,113.67,1.02,0.93,Colorless,Very Slightly Included
1.0,Premium,F,SI1,60.3,58.0,5292,6.47,6.43,3.89,161.83,1.01,0.96,Colorless,Slightly Included
0.5,Ideal,E,SI2,62.4,57.0,1240,5.07,5.03,3.15,80.33,1.01,0.91,Colorless,Slightly Included
0.51,Ideal,G,VVS2,61.3,57.0,1875,5.12,5.15,3.15,83.06,0.99,0.93,Near Colorless,Very Very Slightly Included
1.04,Premium,G,SI2,62.2,59.0,3861,6.57,6.49,4.06,173.12,1.01,0.95,Near Colorless,Slightly Included
0.64,Ideal,G,VVS2,61.8,54.0,2587,5.53,5.56,3.42,105.15,0.99,0.87,Near Colorless,Very Very Slightly Included
0.8,Ideal,E,VS2,62.2,57.0,3648,5.95,5.98,3.71,132.01,0.99,0.92,Colorless,Very Slightly Included
0.3,Ideal,D,SI1,61.9,56.0,552,4.28,4.31,2.66,49.07,0.99,0.9,Colorless,Slightly Included
0.38,Premium,E,VS2,61.8,58.0,866,4.61,4.64,2.86,61.18,0.99,0.94,Colorless,Very Slightly Included
0.31,Ideal,G,VS1,62.1,55.0,625,4.33,4.37,2.7,51.09,0.99,0.89,Near Colorless,Very Slightly Included
1.0,Fair,H,SI1,55.2,64.0,3830,6.69,6.64,3.68,163.47,1.01,1.16,Near Colorless,Slightly Included
0.78,Ideal,G,VS2,61.7,55.0,3184,5.94,5.89,3.65,127.7,1.01,0.89,Near Colorless,Very Slightly Included
1.0,Very Good,D,SI1,59.8,59.0,5671,6.47,6.51,3.88,163.42,0.99,0.99,Colorless,Slightly Included
0.7,Very Good,H,VS1,60.3,63.0,2399,5.77,5.73,3.47,114.73,1.01,1.04,Near Colorless,Very Slightly Included
0.64,Very Good,F,SI1,60.7,59.0,1688,5.51,5.59,3.37,103.8,0.99,0.97,Colorless,Slightly Included
0.31,Ideal,I,VS1,61.3,55.6,513,4.37,4.4,2.69,51.72,0.99,0.91,Near Colorless,Very Slightly Included
0.52,Ideal,G,VS2,61.9,55.0,1549,5.15,5.18,3.2,85.37,0.99,0.89,Near Colorless,Very Slightly Included
0.33,Ideal,E,VS1,62.6,57.0,1002,4.42,4.4,2.76,53.68,1.0,0.91,Colorless,Very Slightly Included
0.3,Very Good,H,VVS1,63.4,57.0,878,4.31,4.27,2.72,50.06,1.01,0.9,Near Colorless,Very Very Slightly Included
1.0,Good,J,SI1,63.9,60.0,3679,6.26,6.19,3.98,154.22,1.01,0.94,Near Colorless,Slightly Included
0.3,Ideal,E,I1,60.3,57.0,495,4.39,4.36,2.64,50.53,1.01,0.95,Colorless,Included
0.47,Premium,H,VS1,61.8,58.0,1221,4.99,4.94,3.07,75.68,1.01,0.94,Near Colorless,Very Slightly Included
1.59,Ideal,H,VS1,60.7,56.0,13839,7.54,7.58,4.59,262.33,0.99,0.92,Near Colorless,Very Slightly Included
1.01,Good,G,SI1,63.7,60.0,5113,6.32,6.28,4.01,159.16,1.01,0.94,Near Colorless,Slightly Included
0.34,Ideal,H,SI1,62.6,56.0,628,4.48,4.46,2.8,55.95,1.0,0.89,Near Colorless,Slightly Included
0.31,Ideal,E,VVS2,60.8,57.0,816,4.36,4.39,2.66,50.91,0.99,0.94,Colorless,Very Very Slightly Included
0.74,Ideal,G,VS2,61.2,56.0,3434,5.82,5.85,3.57,121.55,0.99,0.92,Near Colorless,Very Slightly Included
0.33,Ideal,F,VS2,62.6,55.0,854,4.42,4.4,2.76,53.68,1.0,0.88,Colorless,Very Slightly Included
1.08,Ideal,I,VS2,61.8,54.0,5455,6.6,6.57,4.07,176.48,1.0,0.87,Near Colorless,Very Slightly Included
0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66,126.32,1.01,0.91,Near Colorless,Slightly Included
0.3,Ideal,H,VVS2,61.5,57.0,776,4.34,4.31,2.66,49.76,1.01,0.93,Near Colorless,Very Very Slightly Included
1.33,Ideal,I,VVS2,62.2,56.0,7887,7.01,7.04,4.37,215.66,1.0,0.9,Near Colorless,Very Very Slightly Included
0.51,Very Good,H,SI1,61.2,55.0,1008,5.19,5.21,3.18,85.99,1.0,0.9,Near Colorless,Slightly Included
0.58,Ideal,D,SI2,61.2,57.0,1342,5.36,5.4,3.29,95.23,0.99,0.93,Colorless,Slightly Included
1.22,Ideal,H,VS2,62.0,58.0,7623,6.81,6.86,4.24,198.08,0.99,0.94,Near Colorless,Very Slightly Included
0.78,Good,H,VS2,63.7,60.0,2440,5.77,5.73,3.66,121.01,1.01,0.94,Near Colorless,Very Slightly Included
1.62,Ideal,I,VS1,60.8,56.0,11152,7.56,7.61,4.62,265.8,0.99,0.92,Near Colorless,Very Slightly Included
1.65,Ideal,G,VS2,60.8,56.0,14456,7.65,7.7,4.67,275.09,0.99,0.92,Near Colorless,Very Slightly Included
0.55,Very Good,F,VS1,61.2,56.4,1975,5.28,5.33,3.25,91.46,0.99,0.92,Colorless,Very Slightly Included
1.64,Ideal,E,SI1,60.7,55.0,9801,7.67,7.64,4.65,272.48,1.0,0.91,Colorless,Slightly Included
0.3,Premium,E,VS2,62.5,59.0,658,4.27,4.3,2.68,49.21,0.99,0.94,Colorless,Very Slightly Included
0.41,Ideal,D,VS2,61.7,56.0,1076,4.81,4.78,2.96,68.06,1.01,0.91,Colorless,Very Slightly Included
0.3,Premium,D,VVS2,62.4,58.0,752,4.26,4.3,2.67,48.91,0.99,0.93,Colorless,Very Very Slightly Included
1.1,Premium,G,VS2,59.6,60.0,6121,6.72,6.7,4.0,180.1,1.0,1.01,Near Colorless,Very Slightly Included
1.03,Ideal,I,SI1,63.3,57.0,4401,6.37,6.46,4.06,167.07,0.99,0.9,Near Colorless,Slightly Included
